Sirbmá	Sirma_(Tana)
bogostat	noe_som_er_til_latter
maŋŋel	etter
maŋŋil	etter
skuhter	skuter
riektelaš	rettshaver
guhtet	enhver
čálán	skriver
hálddašit	rå_over
beassi	reir
bábir	papir
dihte	for
dihtii	for
várás	for
sivahallat	anklage_for
fuolahit	sørge_for
nohkkot	bli_fri_for
metafora	metafor
diimmá	fra_i_fjor
koarra	kor
vuohttit	finne_spor
oppas	snø_uten_spor
vealgugas	debitor
kántuvra	kontor
mutuvra	motor
bilkidit	gjøre_narr
gotka	maur
stállu	samisk_eventyrfigur
bulli	simle_med_melkesprengt_jur
gávvil	lur
juonalaš	lur
vuorru	tur
luondu	natur
temperatuvra	temperatur
girjjálašvuohta	litteratur
korrektuvra	korrektur
arkitektuvra	arkitektur
konjunktuvra	konjunktur
divri	dyr
návdi	rovdyr
hávvi	sår
giđđa	vår
liehmu	mildt_vær
váfi	svær
njáhcu	tøvær
uksa	dør
lámis	vanfør
lápmašuvvat	bli_vanfør
lágideaddji	arrangør
reabbá	steinsøkke_med_klør
mokta	humør
šlundát	være_i_dårlig_humør
movttet	i_godt_humør
amatevra	amatør
oidu	favør
luokti	stillas
suoidni	gras
láddjet	slå_gras
goargu	stas
nuppelágan	annerledes
oaidnalit	sees
vuorjašuvvat	plages
oahcut	beroliges
meinnestuvvat	lykkes
sierranit	skilles
čoagganit	samles
čoahkkanit	samles
dovdot	føles
njárga	nes
seailut	bevares
cuovkanit	knuses
gopmánit	veltes
deaivvadit	møtes
ahkiduššat	vantrives
goarránit	vantrives
vatnat	tøyes
gáppus	nifs
smáhkku	flis
seahkut	sette_ekstra_med_ris
hatteheapme	med_dårlig_pris
praktihkka	praksis
dieđus	naturligvis
luosat	stengselsgarn_for_laks
goadjin	voksen_hanlaks
čeabet	hals
horbmá	geitrams
leapma	hems
jorri	turbulens
dávji	frekvens
luoikkas	til_låns
luhtte	hos
geahčen	hos
skierru	diskos
rápmi	ros
vievssis	hveps
korpsa	korps
gássa	gass
šiehttat	få_plass
mađđi	avgrenset_fiskeplass
orohat	boplass
šillju	gårdsplass
premissa	premiss
dárki	viss
diehttalas	viss
busse	buss
sáhttu	skyss
Šveica	Sveits
málbma	erts
suotnja	radius
juridihkka	jus
sáhpán	mus
čuovgat	lys
guovssahasat	nordlys
ginttal	talglys
lohkka	lås
luovus	løs
šlundi	motløs
mášoheapme	rastløs
evttohas	kandidat
gárri	fat
sáttat	delegat
vašši	hat
mális	kokt_mat
automáhta	automat
automáhtta	automat
sturrodat	format
verdde	kamerat
illá	såvidt
alfabehta	alfabet
roasmmuhuvvat	bli_skadet
seahkanit	bli_blandet
sakka	meget
Sámediggi	Sametinget
Stuorradiggi	Stortinget
doallu	driftsenhet
bargonávccahisvuohta	arbeidsuførhet
girjái	spraglet
bivnnut	omsvermet
bávččagahttit	bli_såret
ádjánit	bli_heftet
kvaliteahtta	kvalitet
gullevašvuohta	identitet
veadju	kraft
dárbmi	handlekraft
divat	avgift
čála	skrift
áibmu	luft
jorgut	vrengt
binná	bit
baika	skit
dorvu	tillit
luohttámuš	tillit
gappas	helt_hvit
vielgat	kvit
beaktu	effekt
geatnegasvuohta	plikt
biire	reinbeitedistrikt
givssas	kokt
giksat	bli_ferdigkokt
furrošit	drive_utukt
sálttis	salt
veahtas	for_lite_salt
hávkat	bli_kvalt
nealgi	sult
dubmehallat	bli_dømt
ravda	kant
vánta	vant
hárjánit	bli_vant
umáhttu	uvant
gáibideaddji	pretendent
beakkálmas	kjent
oahpásmit	bli_kjent
parlameanta	parlament
dokumeanta	dokument
adveanta	advent
čorget	gjøre_reint
hárbmat	bli_sint
suhttat	bli_sint
juolgi	fot
nuohtti	not
nuohttut	fiske_med_not
mátta	rot
máddu	rot
gožu	sot
leahttu	fart
stárta	start
sáttat	delegert
doalvut	bringe_bort
aborta	abort
bistevaš	fast
darvánit	bli_fast
jorgalit	gjøre_et_notkast
plásta	plast
báris	best
heasta	hest
guossut	være_gjest
bostta	elveblest
reasta	rest
juotna	list
šaddu	vekst
ihkinassii	som_helst
lieđđi	blomst
boasta	post
riddu	kyst
čižži	kvinnebryst
čakča	høst
idja	natt
ovddasteaddji	foresatt
earret	unntatt
stafeahtta	stafett
bušeahtta	budsjett
bileahtta	billett
ultravioleahtta	ultraviolett
jalgat	slett
neahtta	nett
kabineahtta	kabinett
interneahtta	internett
njuolgat	rett
vearri	urett
čavddis	tett
juokŋat	sprekke,_bli_utett
boahkkut	tørke_litt
lakta	grensesnitt
duhkku	dott
šloahtta	slott
muogir	knott
ruŋgu	skrott
lonuhus	substitutt
luvvat	bli_bløytt
nálli	ætt
váibat	bli_trøtt
geiget	strekke_ut
lebbet	bre_ut
gurgalit	drysse_ut
njulget	rette_ut
deavdda	input
fanas	båt
njuoskkas	våt
sávza	sau
máhccat	snu
jorggihit	snu
vuođul	på_grunnlag_av
báhccat	gå_av
mearra	hav
jeagil	reinlav
gáibádus	krav
doalvi	trav
soabbi	stav
hárči	skrev
arkiiva	arkiv
vuorká	arkiv
heagga	liv
eallin	liv
čuovus	følgeskriv
passiiva	passiv
álgga	initiativ
doaibmi	aktiv
kollektiiva	kollektiv
doaŋgi	stiv
starggas	stiv
miessi	reinkalv
láhka	lov
roavva	grov
geatki	jerv
hoavva	håv
bealjeheapme	døv
lasta	løv
gieldit	forby
balva	sky
suolu	øy
soadji	fløy
fidnet	få
gollat	gå
vázzit	gå
vealtat	unngå
dearpat	slå
cábmit	slå
roaškut	slå
huškut	slå
evttohit	foreslå
meroštit	anslå
noddet	nå
ollit	nå
alde	på
árkkálmastit	synes_synd_på
áššáskuhttit	skylde_på
guoddalit	klage_på
bahkket	trenge_på
dorvvastit	stole_på
luohttit	stole_på
rohtašuvvat	ligne_på
hutkat	finne_på
rádjat	ta_vare_på
čalmmustahttit	fokusere_på
váruhit	passe_på
bastit	bite_på
maŋŋil	etterpå
máddin	sørpå
gilvit	så
čuožžut	stå
ovddastit	forestå
idea	idé
jápmit	dø
biebmat	fø
ciellat	gjø
ruohkkat	klø
duolbmat	trø
stáđis	stø
